quantity,unitMax,sendToAdministrator,price,totalPrice,date,optionUnit,unit,customer,unitIndividual,pricePerUnit,idProductList,productName,dateRegister
3,,True,1,10.5,2024-03-01,"['UNIDAD', 'CAJA']",0,,48,3.5,mv8mR33rhGlnzRB43qJV,FILETE DE ATUN ROSAIMAR EN ACEITE VEGETAL,2024-03-01 17:22:06.922000+00:00
1,,True,1,5.0,2024-03-06,"['UNIDAD', 'CAJA']",0,,12,5,2fLvFhKOJWmv6IyiLsgs,ACEITE PURASELVA 1 LT,2024-03-06 17:31:27.179000+00:00
2,,True,1,10.0,2024-04-10,"['UNIDAD', 'PAQUETE']",0,,12,5,hVBdTuxc07rj1KLOmsZm,ACEITE PALMEROLA 1 LT,2024-04-10 16:55:40.188000+00:00
1,,True,1,3.0,2024-05-16,"['UNIDAD', 'CAJA']",0,,48,3,mv8mR33rhGlnzRB43qJV,FILETE DE ATUN ROSAIMAR EN ACEITE VEGETAL,2024-05-16 17:56:56.083000+00:00
3,,True,1,16.5,2023-12-09,"['UNIDAD', 'CAJA']",0,,12,5.5,2fLvFhKOJWmv6IyiLsgs,ACEITE PURASELVA 1 LT,2023-12-09 17:13:33.634000+00:00
12,,True,39,8.0,2024-07-30,"['UNIDAD', 'SACO', '']",0,,60,0.6666666666666666,N5Fp8xnQEvSYhTD1COgv,DETERGENTE TROME,2024-07-30 17:29:06.824000+00:00
12,,True,1,34.0,2024-05-12,"['UNIDAD', 'CAJA']",0,,48,2.8333333333333335,p49nwMCX1BAiyXRWkY8H,FILETE DE CABALLA LYDEMAR EN ACEITE VEGETAL,2024-05-12 14:14:57.939000+00:00
1,,True,1,5.0,2024-04-13,"['UNIDAD', 'CAJA']",0,,12,5,YPU0kTVnPGHLCyYugcfb,LAVAVAJILLA LESLI 1 KG,2024-04-13 17:29:16.810000+00:00
1,,True,80,79.0,2024-08-25,"['UNIDAD', 'CAJA']",1,,48,79,ao7sEBN2Q9mBeKu2YffG,GRATED DE SARDINAS LYDEMAR EN AGUA Y SAL (ROJO),2024-08-25 16:34:58.890000+00:00
5,,True,2.5,15.0,2024-10-22,"['UNIDAD', 'CAJA', '']",0,,48,3,2CNPQFqsLGFCnF1bGsV2,FILETE CHANCADO,2024-10-22 16:50:18.670000+00:00
12,,True,15,155.0,2024-05-24,"['UNIDAD', 'CAJA', '']",0,,12,12.916666666666666,pr5ho0j5F5FexAkd38qR,RON VENTURO,2024-05-24 16:59:48.842000+00:00
3,,True,84,10.7,2024-06-02,"['UNIDAD', 'CAJA']",0,,24,3.5666666666666664,SYUQtNKXDJRrupbBone9,TOLL DE CABALLA /JUREL  P-RUVIAN MAR EN SALSA DE TOMATE,2024-06-02 16:50:36.357000+00:00
3,,True,1,12.0,2024-01-08,"['UNIDAD', 'CAJA']",0,,24,4,NsZumfyELBplxvQ3OZbq,OVAL  LYDEMAR  DE SARDINAS PERUANAS EN SALSA DE TOMATE ,2024-01-08 16:42:48.271000+00:00
3,,True,1,234.0,2024-03-24,"['UNIDAD', 'CAJA']",1,,48,78,3Vkdnnx8SPE4zpcoJbA2,GRATED DE ANCHOVETA ROSAIMAR,2024-03-24 17:16:25.620000+00:00
1,,True,1,130.0,2023-12-30,"['UNIDAD', 'CAJA']",1,,48,130,p49nwMCX1BAiyXRWkY8H,FILETE DE CABALLA LYDEMAR EN ACEITE VEGETAL,2023-12-30 17:57:16.538000+00:00
4,,True,1,10.0,2024-04-27,"['UNIDAD', 'CAJA']",0,,48,2.5,CT7FbHVBovQuAcwZ5R9N,FILETE DE CABALLA  DELIMAR EN ACEITE VEGETAL,2024-04-27 16:55:05.905000+00:00
2,,True,1,10.0,2024-03-24,"['UNIDAD', 'CAJA']",0,,12,5,2fLvFhKOJWmv6IyiLsgs,ACEITE PURASELVA 1 LT,2024-03-24 17:43:27+00:00
3,,True,1,11.5,2024-05-30,"['UNIDAD', 'CAJA']",0,,24,3.8333333333333335,NsZumfyELBplxvQ3OZbq,OVAL  LYDEMAR  DE SARDINAS PERUANAS EN SALSA DE TOMATE ,2024-05-30 17:41:05.898000+00:00
12,,True,1,33.0,2024-11-11,"['UNIDAD', 'CAJA']",0,,48,2.75,WC4rVBbz9h0DHvCj9p4h,FILETE DE CABALLA LYDEMAR EN ACEITE VEGETAL,2024-11-11 16:54:24.361000+00:00
5,200,True,3,14.5,2024-03-14,"['UNIDAD', 'PAQUETE', 'SACO']",0,,20,2.9,CGUztCokJHLlLAVOofdm,FLAN DON LUCHO,2024-03-14 17:20:37.229000+00:00
1,,True,39,36.0,2024-08-12,"['UNIDAD', 'SACO', '']",1,,60,36,N5Fp8xnQEvSYhTD1COgv,DETERGENTE TROME,2024-08-12 16:28:48.923000+00:00
3,,True,1,12.0,2024-04-05,"['UNIDAD', 'CAJA']",0,,24,4,NsZumfyELBplxvQ3OZbq,OVAL  LYDEMAR  DE SARDINAS PERUANAS EN SALSA DE TOMATE ,2024-04-05 16:03:16.106000+00:00
1,200,True,36,36.0,2024-07-13,"['UNIDAD', 'PAQUETE', 'CAJA']",2,,10,36,dFBL50O70QLpOza8jCP0,VELA SANTA FE,2024-07-13 16:59:37.424000+00:00
6,,True,0,11.5,2023-11-07,"['UNIDAD', 'CAJA']",0,,48,1.9166666666666667,uXWDUwhTKjYeCCSm2WrN,GRATED DE SARDINA PREMIUM LYDEMAR EN ACEITE VEGETAL,2023-11-07 17:08:24.707000+00:00
3,,True,1,12.0,2023-12-07,"['UNIDAD', 'CAJA']",0,,24,4,NsZumfyELBplxvQ3OZbq,OVAL  LYDEMAR  DE SARDINAS PERUANAS EN SALSA DE TOMATE ,2023-12-07 16:35:18.685000+00:00
1,,True,1,2.0,2024-07-29,"['UNIDAD', 'CAJA']",0,,12,2,iC2Zoyizbl2WaNYrD5KX,LEJIA QMASTER 1 LT,2024-07-29 14:55:09.960000+00:00
2,,True,1,10.0,2024-03-28,"['UNIDAD', 'CAJA']",0,,12,5,2fLvFhKOJWmv6IyiLsgs,ACEITE PURASELVA 1 LT,2024-03-28 17:46:47.803000+00:00
6,,True,13,6.5,2024-12-01,"['UNIDAD', 'CAJA', '']",0,,40,1.0833333333333333,t1yPID5OJfq8y284qIVs,JABON ROPA GRANDE 175 GR,2024-12-01 14:53:55.696000+00:00
4,,True,1,10.0,2024-05-26,"['UNIDAD', 'CAJA']",0,,48,2.5,CT7FbHVBovQuAcwZ5R9N,FILETE DE CABALLA  DELIMAR EN ACEITE VEGETAL,2024-05-26 16:52:23.652000+00:00
12,,True,1,32.0,2024-11-18,"['UNIDAD', 'CAJA']",0,,48,2.6666666666666665,JHyqlFNPrlXoR2CzXWR4,FILETE DE CABALLA ROSAIMAR EN ACEITE VEGETAL,2024-11-18 17:29:09.692000+00:00
6,,True,1,20.0,2024-10-20,"['UNIDAD', 'CAJA']",0,,48,3.3333333333333335,mv8mR33rhGlnzRB43qJV,FILETE DE ATUN ROSAIMAR EN ACEITE VEGETAL,2024-10-20 16:26:09.861000+00:00
3,,True,1,10.5,2024-03-03,"['UNIDAD', 'CAJA']",0,,48,3.5,mv8mR33rhGlnzRB43qJV,FILETE DE ATUN ROSAIMAR EN ACEITE VEGETAL,2024-03-03 17:20:31.822000+00:00
12,,True,1,30.0,2024-04-21,"['UNIDAD', 'CAJA']",0,,48,2.5,CT7FbHVBovQuAcwZ5R9N,FILETE DE CABALLA  DELIMAR EN ACEITE VEGETAL,2024-04-21 16:50:00.853000+00:00
1,,True,1,5.0,2024-03-08,"['UNIDAD', 'CAJA']",0,,12,5,YPU0kTVnPGHLCyYugcfb,LAVAVAJILLA LESLI 1 KG,2024-03-08 17:51:10.021000+00:00
1,,True,1,2.5,2024-07-29,"['UNIDAD', 'CAJA']",0,,48,2.5,dZdI7Go2b7SazcIrE61s,GRATED DE ATUN DON LUCHO EN ACEITE VEGETAL,2024-07-29 14:52:20.083000+00:00
1,100,True,6,5.3,2024-08-11,"['UNIDAD', 'BOLSA', 'PLANCHA']",1,,25,5.3,QzwdwAKrlRDJ8tsfqpqX,LEJIA LYDEMAR,2024-08-11 19:22:52.628000+00:00
6,,True,1,17.0,2024-08-31,"['UNIDAD', 'CAJA']",0,,48,2.8333333333333335,WC4rVBbz9h0DHvCj9p4h,FILETE DE CABALLA LYDEMAR EN ACEITE VEGETAL,2024-08-31 17:12:24.060000+00:00
1,,True,1,90.0,2024-11-27,"['UNIDAD', 'CAJA']",1,,24,90,LJ8XpkoXAtkWoy8Txtqy,OVAL  LYDEMAR  DE SARDINAS PERUANAS EN SALSA DE TOMATE ,2024-11-27 17:46:18.607000+00:00
1,200,True,57,3.0,2024-04-17,"['UNIDAD', 'PAQUETE', 'SACO']",0,,20,3,cUu0F99S7bgXUIpvCuGB,GELATINA DON LUCHO,2024-04-17 17:51:26.227000+00:00
1,,True,1,2.5,2024-04-20,"['UNIDAD', 'CAJA']",0,,48,2.5,7vIFOFhUFI8BuzsqJbmM,GRATED DE ATUN DON LUCHO EN ACEITE VEGETAL,2024-04-20 17:02:27.051000+00:00
